list,title,doi,documentPage
https://dblp.org/rec/conf/ecai/Laurent92,Proposals for a Valid Terminology in KBS Validation.,,
https://dblp.org/rec/conf/ecai/LauS02,Combining Two Heuristics to Solve a Supply Chain Optimization Problem.,,
https://dblp.org/rec/conf/ecai/Laux94,Beliefs in Multi-Agent Worlds: a Terminological Logics Approach.,,
https://dblp.org/rec/conf/ecai/LavdaGK20,Improving VAE Generations of Multimodal Data Through Data-Dependent Conditional Priors.,https://doi.org/10.3233/FAIA200226,https://doi.org/10.3233/FAIA200226
https://dblp.org/rec/conf/ecai/LavergneUY08,Detecting Fake Content with Relative Entropy Scoring.,,https://ceur-ws.org/Vol-377/paper4.pdf
https://dblp.org/rec/conf/ecai/LavernyL04,From Knowledge-Based Programs to Graded Belief-Based Programs Part I: On-Line Reasoning.,,
https://dblp.org/rec/conf/ecai/LavieGCL96,Input Segmentation of Spontaneous Speech in JANUS: A Speech-to-speech Translation System.,https://doi.org/10.1007/3-540-63175-5_39,https://doi.org/10.1007/3-540-63175-5_39
https://dblp.org/rec/conf/ecai/Lawler86,Co-Adaptation and the Development of Cognitive Structures.,,
https://dblp.org/rec/conf/ecai/Lebowitz84,Using Memory in Text Understanding.,,
https://dblp.org/rec/conf/ecai/Lebowitz86,"UNIMEM, a General Learning System: An Overview.",,
https://dblp.org/rec/conf/ecai/LecoutreLY12,A Path-Optimal GAC Algorithm for Table Constraints.,https://doi.org/10.3233/978-1-61499-098-7-510,https://doi.org/10.3233/978-1-61499-098-7-510
https://dblp.org/rec/conf/ecai/LecoutreSTV06,Last Conflict Based Reasoning.,,http://www.booksonline.iospress.nl/Content/View.aspx?piid=1661
https://dblp.org/rec/conf/ecai/LecueDL08,Optimizing Causal Link Based Web Service Composition.,https://doi.org/10.3233/978-1-58603-891-5-45,https://doi.org/10.3233/978-1-58603-891-5-45
https://dblp.org/rec/conf/ecai/Lee00,Qualitative Modelling of Linear Networks in Engineering Applications.,,
https://dblp.org/rec/conf/ecai/Lee14,The Complexity of Reasoning with Relative Directions.,https://doi.org/10.3233/978-1-61499-419-0-507,https://doi.org/10.3233/978-1-61499-419-0-507
https://dblp.org/rec/conf/ecai/LeeBOBS24,Perturb-and-Compare Approach for Detecting Out-of-Distribution Samples in Constrained Access Environments.,https://doi.org/10.3233/FAIA240724,https://doi.org/10.3233/FAIA240724
https://dblp.org/rec/conf/ecai/LeeD20,"Sequencing, Combining and Sampling Classifiers to Help Find Needles in Haystacks.",https://doi.org/10.3233/FAIA200227,https://doi.org/10.3233/FAIA200227
https://dblp.org/rec/conf/ecai/LeeLCKC23,Towards Flexible Time-to-Event Modeling: Optimizing Neural Networks via Rank Regression.,https://doi.org/10.3233/FAIA230410,https://doi.org/10.3233/FAIA230410
https://dblp.org/rec/conf/ecai/LeeLLS16,On Redundancy in Simple Temporal Networks.,https://doi.org/10.3233/978-1-61499-672-9-828,https://doi.org/10.3233/978-1-61499-672-9-828
https://dblp.org/rec/conf/ecai/LeeLSH24,Robust Monocular Depth Estimation in Adverse Weather Conditions by Unsupervised Domain Adaptation.,https://doi.org/10.3233/FAIA240539,https://doi.org/10.3233/FAIA240539
https://dblp.org/rec/conf/ecai/LeeNCT24,Interactive Example-Based Explanations to Improve Health Professionals' Onboarding with AI for Human-AI Collaborative Decision Making.,https://doi.org/10.3233/FAIA241044,https://doi.org/10.3233/FAIA241044
https://dblp.org/rec/conf/ecai/LeeS94,A Context-Sensitive Discretization of Numeric Attributes for Classification Learning.,,
https://dblp.org/rec/conf/ecai/LeH0W0Z20,Learning to Predict Charges for Legal Judgment via Self-Attentive Capsule Network.,https://doi.org/10.3233/FAIA200295,https://doi.org/10.3233/FAIA200295
https://dblp.org/rec/conf/ecai/Lehoux-Lebacque24,Multi-Agent Path Finding with Real Robot Dynamics and Interdependent Tasks for Automated Warehouses.,https://doi.org/10.3233/FAIA241017,https://doi.org/10.3233/FAIA241017
https://dblp.org/rec/conf/ecai/LehtonenNJ24,SAT-Based Approaches to Reasoning in Choice Logics.,https://doi.org/10.3233/FAIA241001,https://doi.org/10.3233/FAIA241001
https://dblp.org/rec/conf/ecai/LeidnerR23,Language-Model Assisted Learning How to Program?,https://doi.org/10.1007/978-3-031-50485-3_41,https://doi.org/10.1007/978-3-031-50485-3_41
https://dblp.org/rec/conf/ecai/LeiteB10,Active Testing Strategy to Predict the Best Classification Algorithm via Sampling and Metalearning.,,http://www.booksonline.iospress.nl/Content/View.aspx?piid=17763
https://dblp.org/rec/conf/ecai/LeivoBJ20,Preprocessing in Incomplete MaxSAT Solving.,https://doi.org/10.3233/FAIA200112,https://doi.org/10.3233/FAIA200112
https://dblp.org/rec/conf/ecai/LejeuneD16,"A Data Driven Similarity Measure and Example Mapping Function for General, Unlabelled Data Sets.",https://doi.org/10.3233/978-1-61499-672-9-158,https://doi.org/10.3233/978-1-61499-672-9-158
https://dblp.org/rec/conf/ecai/LeLL16,A Reinforcement Learning Framework for Trajectory Prediction Under Uncertainty and Budget Constraint.,https://doi.org/10.3233/978-1-61499-672-9-347,https://doi.org/10.3233/978-1-61499-672-9-347
https://dblp.org/rec/conf/ecai/Lemaire92,Hypothetical Reasoning within the Blackboard.,,
https://dblp.org/rec/conf/ecai/LembergerS24,Explaining Text Classifiers with Counterfactual Representations.,https://doi.org/10.3233/FAIA240576,https://doi.org/10.3233/FAIA240576
https://dblp.org/rec/conf/ecai/LemmensD24,Model Priming with Triplet Loss for Few-Shot Emotion Classification in Text.,https://doi.org/10.3233/FAIA240795,https://doi.org/10.3233/FAIA240795
https://dblp.org/rec/conf/ecai/LeN024,ANSPRE: Improving Question-Answering in Large Language Models with Answer-Prefix Generation.,https://doi.org/10.3233/FAIA240778,https://doi.org/10.3233/FAIA240778
https://dblp.org/rec/conf/ecai/LengZXCZ23,Self-Expressive Network-Based Subspace Clustering for Deep Embedding.,https://doi.org/10.3233/FAIA230412,https://doi.org/10.3233/FAIA230412
https://dblp.org/rec/conf/ecai/LentingB94,An All-Pay Auction Approach to Reallocation.,,
https://dblp.org/rec/conf/ecai/LenzB96,Lazy Propagation in Case Retrieval Nets.,,
