list,title,doi,documentPage
https://dblp.org/rec/conf/hhai/MeerVJM24,Value-Sensitive Disagreement Analysis for Online Deliberation.,https://doi.org/10.3233/FAIA240231,https://doi.org/10.3233/FAIA240231
https://dblp.org/rec/conf/hhai/MehrotraJJT23,Building Appropriate Trust in AI: The Significance of Integrity-Centered Explanations.,https://doi.org/10.3233/FAIA230121,https://doi.org/10.3233/FAIA230121
https://dblp.org/rec/conf/hhai/MemonSIA23,Don't You Agree with My Ethics? Let's Negotiate!,https://doi.org/10.3233/FAIA230105,https://doi.org/10.3233/FAIA230105
https://dblp.org/rec/conf/hhai/MercadoHBGGC23,Social Interactions Mediated by the Internet and the Big- Five: A Cross-Country Analysis (Short Paper).,,https://ceur-ws.org/Vol-3456/short5-6.pdf
https://dblp.org/rec/conf/hhai/MethnaniLD24,The Impact of Mixed-Initiative on Collaboration in Hybrid AI.,https://doi.org/10.3233/FAIA240227,https://doi.org/10.3233/FAIA240227
https://dblp.org/rec/conf/hhai/MettaGYGR22,Exemplars and Counterexemplars Explanations for Skin Lesion Classifiers.,https://doi.org/10.3233/FAIA220209,https://doi.org/10.3233/FAIA220209
https://dblp.org/rec/conf/hhai/MeulenVD24,Common Ground Provides a Mental Shortcut in Agent-Agent Interaction.,https://doi.org/10.3233/FAIA240201,https://doi.org/10.3233/FAIA240201
https://dblp.org/rec/conf/hhai/Meyer-VitaliM23,Causing Intended Effects in Collaborative Decision-Making (Short Paper).,,https://ceur-ws.org/Vol-3456/short4-1.pdf
https://dblp.org/rec/conf/hhai/Meyer-VitaliM24,Human-AI Engineering for Adults.,https://doi.org/10.3233/FAIA240197,https://doi.org/10.3233/FAIA240197
https://dblp.org/rec/conf/hhai/MichaelGH23,Diversity-Aware Hybrid Human-Artificial Intelligence (Preface).,,https://ceur-ws.org/Vol-3456/preface5.pdf
https://dblp.org/rec/conf/hhai/MoruzziFR24,"Biases, Epistemic Filters, and Explainable Artificial Intelligence.",,https://ceur-ws.org/Vol-3825/short1-3.pdf
https://dblp.org/rec/conf/hhai/MulderKML24,Rogue Algorithms: Using AI to Track the Spread of Disinformation Applications.,,https://ceur-ws.org/Vol-3825/short6-3.pdf
https://dblp.org/rec/conf/hhai/MuscatoBGPG24,Multi-Perspective Stance Detection.,,https://ceur-ws.org/Vol-3825/short6-4.pdf
https://dblp.org/rec/conf/hhai/NaggitaA23,The Equity Framework: Fairness Beyond Equalized Predictive Outcomes.,https://doi.org/10.3233/FAIA230083,https://doi.org/10.3233/FAIA230083
https://dblp.org/rec/conf/hhai/Namee24,Explainable Interactive Machine Learning Using Prototypical Part Networks for Medical Image Analysis.,https://doi.org/10.3233/FAIA240214,https://doi.org/10.3233/FAIA240214
https://dblp.org/rec/conf/hhai/NarettoMG22,Privacy Risk of Global Explainers.,https://doi.org/10.3233/FAIA220206,https://doi.org/10.3233/FAIA220206
https://dblp.org/rec/conf/hhai/NataliFC24,"Stimulating Cognitive Engagement in Hybrid Decision-Making: Friction, Reliance and Biases (Preface).",,https://ceur-ws.org/Vol-3825/prefaceW1.pdf
https://dblp.org/rec/conf/hhai/NeelySBL22,A Song of (Dis)agreement: Evaluating the Evaluation of Explainable Artificial Intelligence in Natural Language Processing.,https://doi.org/10.3233/FAIA220190,https://doi.org/10.3233/FAIA220190
https://dblp.org/rec/conf/hhai/NguyenIDVJ24,Hybrid Intelligence in Academic Writing: Examining Self-Regulated Learning Patterns in an AI-Assisted Writing Task.,https://doi.org/10.3233/FAIA240198,https://doi.org/10.3233/FAIA240198
https://dblp.org/rec/conf/hhai/Nimrod24,"""Global Perspectives on AI Governance: A Comparative Overview.",,https://ceur-ws.org/Vol-3825/paper4-2.pdf
https://dblp.org/rec/conf/hhai/NolsUP23,Trust Dispersion and Effective Human-AI Collaboration: The Role of Psychological Safety (Short Paper).,,https://ceur-ws.org/Vol-3456/short4-4.pdf
https://dblp.org/rec/conf/hhai/Onnes22,"Monitoring AI Systems: A Problem Analysis, Framework and Outlook.",https://doi.org/10.3233/FAIA220202,https://doi.org/10.3233/FAIA220202
https://dblp.org/rec/conf/hhai/OnnesDR23,Bayesian Network Conflict Detection for Normative Monitoring of Black-Box Systems (Short Paper).,,https://ceur-ws.org/Vol-3456/short2-1.pdf
https://dblp.org/rec/conf/hhai/OntikaSCP23,PAIRADS: Hybrid Interaction Between Humans and AI in Radiology.,https://doi.org/10.3233/FAIA230108,https://doi.org/10.3233/FAIA230108
https://dblp.org/rec/conf/hhai/PaciTPB23,"""Who's a Good Robot?!"" Designing Human-Robot Teaching Interactions Inspired by Dog Training.",https://doi.org/10.3233/FAIA230094,https://doi.org/10.3233/FAIA230094
https://dblp.org/rec/conf/hhai/Palma23,Neurosymbolic Narrative Generation for Cultural Heritage.,https://doi.org/10.3233/FAIA230129,https://doi.org/10.3233/FAIA230129
https://dblp.org/rec/conf/hhai/Peng24,Designing Expressive Interaction with Generative Artificial Intelligence.,https://doi.org/10.3233/FAIA240215,https://doi.org/10.3233/FAIA240215
https://dblp.org/rec/conf/hhai/PerikosM23,Sensitive Content Recognition in Social Interaction Messages (Short Paper).,,https://ceur-ws.org/Vol-3456/short5-7.pdf
https://dblp.org/rec/conf/hhai/QuintanaT24,"Make Friends, Not Tools: Designing AI for Technoamicitia.",,https://ceur-ws.org/Vol-3825/extendedAbstract1-2.pdf
https://dblp.org/rec/conf/hhai/RafnerBD0ZS22,Towards Hybrid Intelligence Workflows: Integrating Interface Design and Scalable Deployment.,https://doi.org/10.3233/FAIA220227,https://doi.org/10.3233/FAIA220227
